61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61	61
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
34	36	34	36	36	34	34	34	36	36	36	36	34	34	36	36	36	36	36	36	36	36	36	36	36	35	34	34	34	34	36	34	36
23	24	24	23	23	25	25	23	23	24	24	23	25	25	23	23	23	25	24	24	23	23	23	23	23	23	23	23	23	25	23	23	23
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
28	28	28	21	29	28	28	28	28	28	28	29	28	28	28	22	29	28	28	22	28	21	21	19	21	21	21	21	29	23	21	21	21
111	111	111	111	113	111	111	112	112	113	112	112	111	112	111	111	113	112	111	112	111	100	101	101	102	113	111	111	113	111	102	110	101
61	60	60	60	62	61	61	61	60	61	59	62	60	61	60	60	62	61	60	60	59	60	60	60	60	59	58	59	62	61	60	59	60
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
19	19	19	18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	18	19	18	18	19	19	19	19	19	18	18	19
59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	58	59	59	59
48	48	48	37	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	40	48	37	37	48	48	48	48	48	37	37	48
38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	21	21	19	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	19	21	19	17	21	21	21	21	21	19	19	21
22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
38	38	38	35	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	35	38	35	35	38	38	38	38	38	35	35	38
11	11	12	11	12	11	11	11	11	11	11	12	11	11	11	11	12	11	12	11	11	11	11	11	11	10	10	10	11	11	12	11	11
172	167	170	155	202	174	176	172	176	171	168	202	177	176	176	175	202	177	173	163	170	133	135	133	132	153	157	152	201	154	146	141	152
27	27	27	27	33	27	27	10	10	27	27	33	27	27	27	27	33	27	28	27	8	27	27	27	27	11	11	8	33	9	27	24	27
25	26	26	26	26	25	25	26	26	26	26	25	25	25	26	26	26	26	26	26	25	26	25	25	25	26	26	26	26	26	26	26	26
